Date,M2_Baseline_Anomaly,M2_Baseline_Score,M2_IF_Score,M2_IF_Training_Percentile
2022-06-22,NORMAL,0.13836798503885575,0.3875941016206847,0.6375510204081632
2022-06-23,NORMAL,0.08723543949555818,0.4082128621020538,0.7746938775510204
2022-06-24,NORMAL,0.9879636681591876,0.4730916241528956,0.8914285714285715
2022-06-27,NORMAL,0.94431732381946,0.489166926612812,0.9069387755102041
2022-06-28,NORMAL,0.9514197471071536,0.4534068293169403,0.8702040816326531
2022-06-29,NORMAL,0.9350114247795271,0.4505698769498953,0.8636734693877551
2022-06-30,NORMAL,0.957645861179304,0.44711716749072766,0.8579591836734693
2022-07-01,NORMAL,0.7115744310131763,0.3784748229727767,0.529795918367347
2022-07-04,NORMAL,0.352505172880848,0.3770302346593578,0.5110204081632653
2022-07-05,NORMAL,0.37048777816842393,0.3722745842950796,0.4555102040816327
2022-07-06,NORMAL,0.6734255133976159,0.38981384294623367,0.6571428571428571
2022-07-07,NORMAL,0.669390954518996,0.37386510143417456,0.47836734693877553
2022-07-08,NORMAL,0.6297370043976699,0.3694649049959352,0.41877551020408166
2022-07-11,NORMAL,0.591812150938612,0.3685506098063309,0.403265306122449
2022-07-12,NORMAL,0.4198073282098347,0.35534656176803187,0.16081632653061226
2022-07-13,NORMAL,0.2918283203480415,0.35412318078242944,0.1436734693877551
2022-07-14,NORMAL,0.2935403922236349,0.34827665794222756,0.05551020408163265
2022-07-15,NORMAL,0.318727570093769,0.3475971099695956,0.04897959183673469
2022-07-18,NORMAL,0.30421555264338623,0.34849972488091024,0.05714285714285714
2022-07-19,NORMAL,0.24354901430761075,0.3550293578648625,0.15591836734693879
2022-07-20,NORMAL,0.18477835300145445,0.36359535816390753,0.3224489795918367
2022-07-21,NORMAL,0.1960647368005104,0.3659074499773077,0.36653061224489797
2022-07-22,NORMAL,0.11085818585801195,0.37257141620146256,0.46040816326530615
2022-07-25,NORMAL,0.1099932768415781,0.3812591369222472,0.5624489795918367
2022-07-26,NORMAL,0.10146152745631365,0.38165320076063475,0.5673469387755102
2022-07-27,NORMAL,0.11459507484577845,0.3765131714313447,0.5061224489795918
2022-07-28,NORMAL,0.08509930468428648,0.38059384161382354,0.5559183673469388
2022-07-29,NORMAL,0.3394812038109831,0.3761024871339233,0.5020408163265306
2022-08-01,NORMAL,0.20041213826908472,0.37085407651908,0.4359183673469388
2022-08-02,NORMAL,0.11209973576980754,0.36975871193615306,0.42122448979591837
2022-08-03,NORMAL,0.2155060276872992,0.3795118104945593,0.5461224489795918
2022-08-04,NORMAL,0.19380168311898954,0.38267079077437594,0.5820408163265306
2022-08-05,NORMAL,0.1777192666873376,0.383212956722633,0.5861224489795919
2022-08-08,NORMAL,0.0922542336439826,0.3775352714993339,0.516734693877551
2022-08-09,NORMAL,0.08011811851197714,0.37965786480964087,0.5485714285714286
2022-08-10,NORMAL,0.7829700540396133,0.4060314385884252,0.7640816326530612
2022-08-11,NORMAL,0.3546416913351709,0.3634958851872066,0.3224489795918367
2022-08-12,NORMAL,0.2796211114464294,0.3559839827189419,0.17061224489795918
2022-08-15,NORMAL,0.27472483469427056,0.35452720004433813,0.14857142857142858
2022-08-16,NORMAL,0.2758583700347307,0.3612477746794848,0.28653061224489795
2022-08-17,NORMAL,0.16619013241796685,0.36854280969670644,0.403265306122449
2022-08-18,NORMAL,0.5665096162373997,0.38207309771915987,0.5730612244897959
2022-08-19,NORMAL,0.2203750706956222,0.3618127840612214,0.2922448979591837
2022-08-22,NORMAL,0.23221844977422584,0.36069973463766086,0.2702040816326531
2022-08-23,NORMAL,0.21387121417406524,0.361559699824647,0.2897959183673469
2022-08-24,NORMAL,0.2066967086812113,0.3629945398891527,0.3142857142857143
2022-08-25,NORMAL,0.06480487988170675,0.3851982851937921,0.6146938775510205
2022-08-26,NORMAL,0.06195259756048505,0.38673724583558544,0.6342857142857142
2022-08-29,NORMAL,0.0353191240627759,0.3921071027339763,0.6751020408163265
2022-08-30,NORMAL,0.03581841933226265,0.3928545618128079,0.6816326530612244
2022-08-31,NORMAL,0.12254542333722905,0.3891913955538951,0.6514285714285715
2022-09-01,NORMAL,0.0552584930624643,0.3870532748771314,0.6351020408163265
2022-09-02,NORMAL,0.0424377658255214,0.39192108128309,0.673469387755102
2022-09-05,NORMAL,0.05298627665145383,0.3925898365735492,0.6791836734693878
2022-09-06,NORMAL,0.0494872034888904,0.3930621974835827,0.6824489795918367
2022-09-07,NORMAL,0.04770358389360053,0.39797168400293537,0.7142857142857143
2022-09-08,NORMAL,0.137505904342308,0.40175919549637834,0.7412244897959184
2022-09-09,NORMAL,0.0853356647682163,0.40032759147389346,0.7338775510204082
2022-09-12,NORMAL,0.16678856470988818,0.4034523889358404,0.7542857142857143
2022-09-13,NORMAL,0.05613960975489887,0.3964692824896986,0.7093877551020408
2022-09-14,NORMAL,0.2246108549985672,0.4012719058518671,0.7395918367346939
2022-09-15,NORMAL,0.10435832284303538,0.39461194670775557,0.6963265306122449
2022-09-16,NORMAL,0.35081654112873306,0.4098338498689674,0.7812244897959184
2022-09-19,NORMAL,0.16679158904423014,0.4055918580667862,0.7624489795918368
2022-09-20,NORMAL,0.4519282029410006,0.4151542186102565,0.7991836734693878
2022-09-21,NORMAL,0.2153913023508426,0.4087686998386752,0.7763265306122449
2022-09-22,NORMAL,0.1430716301178825,0.40549252835026717,0.7616326530612245
2022-09-23,ANOMALOUS,1.4777513730709426,0.4508608765182781,0.8653061224489796
2022-09-26,NORMAL,0.5924210293369406,0.4084707148913108,0.7746938775510204
2022-09-27,NORMAL,0.5268927143370136,0.410553721954032,0.7836734693877551
2022-09-28,NORMAL,0.93108211780343,0.42562461399261364,0.8236734693877551
2022-09-29,NORMAL,0.7231834902172698,0.4119969685531319,0.7869387755102041
2022-09-30,NORMAL,0.6776144987242566,0.39653484738509287,0.7093877551020408
2022-10-03,NORMAL,0.679334902248056,0.3962561059941501,0.7069387755102041
2022-10-04,NORMAL,0.644530725367868,0.389601987989738,0.6563265306122449
2022-10-05,NORMAL,0.4370061473631929,0.3838826164844649,0.5967346938775511
2022-10-06,NORMAL,0.3194170333941064,0.3925326701007929,0.6783673469387755
2022-10-07,NORMAL,0.29969107331579586,0.3866485373299766,0.6326530612244898
2022-10-10,NORMAL,0.3703304829560396,0.398991073981311,0.723265306122449
2022-10-11,NORMAL,0.3496096494116749,0.3858819375213794,0.6236734693877551
2022-10-12,NORMAL,0.36082718615431203,0.3976868070676108,0.7142857142857143
2022-10-13,NORMAL,0.37333510920777463,0.38854547864852895,0.6440816326530612
2022-10-14,NORMAL,0.2805363556101853,0.3908374704824214,0.6661224489795918
2022-10-17,NORMAL,0.27058404799587116,0.3882940272412203,0.6424489795918368
2022-10-18,NORMAL,0.2661791798318818,0.3900572082545569,0.6612244897959184
2022-10-19,NORMAL,0.14822186362848724,0.4006665374538867,0.7379591836734694
2022-10-20,NORMAL,0.13243711689329274,0.40164618261207863,0.7404081632653061
2022-10-21,NORMAL,0.1542671015221298,0.4030958967186975,0.7518367346938776
2022-10-24,NORMAL,0.1320709774373334,0.40386626665082775,0.7551020408163265
2022-10-25,NORMAL,0.15515558469881646,0.40433048553081763,0.7559183673469387
2022-10-26,NORMAL,0.14918730255802135,0.4079963286742301,0.7738775510204081
2022-10-27,NORMAL,0.1466281044776501,0.4088265233307481,0.7763265306122449
2022-10-28,NORMAL,0.1509799799692062,0.4098343320732753,0.7812244897959184
2022-10-31,NORMAL,0.2490134468261379,0.4090235760434217,0.7771428571428571
2022-11-01,NORMAL,0.5559952816298365,0.41713982710146075,0.8040816326530612
2022-11-02,NORMAL,0.6417053554191027,0.4156693621869725,0.7991836734693878
2022-11-03,NORMAL,0.5578813464692399,0.3980799564015738,0.7167346938775511
2022-11-04,NORMAL,0.6886142958322776,0.4265712859766726,0.8269387755102041
2022-11-07,NORMAL,0.6956992573075711,0.4245028739990186,0.8212244897959183
2022-11-08,NORMAL,0.7591152669446999,0.4113248602265846,0.7853061224489796
2022-11-09,NORMAL,0.7950779884758112,0.42253886414293873,0.8187755102040817
2022-11-10,ANOMALOUS,1.0300637723850234,0.45367533199902255,0.8702040816326531
2022-11-11,ANOMALOUS,1.1122833372327234,0.43366506161462653,0.8342857142857143
2022-11-14,ANOMALOUS,1.018499614338358,0.4203988329561761,0.8114285714285714
2022-11-15,ANOMALOUS,1.0253158385856886,0.41520449224344147,0.7991836734693878
2022-11-16,NORMAL,0.9626504297973086,0.4157768333591234,0.8
2022-11-17,NORMAL,0.5016194417585793,0.3877181138344044,0.6375510204081632
2022-11-18,NORMAL,0.3918183517990438,0.3865753255190256,0.6326530612244898
2022-11-21,NORMAL,0.21898925661140126,0.39420928671169386,0.689795918367347
2022-11-22,NORMAL,0.24304624690388354,0.39403493317958893,0.689795918367347
2022-11-23,NORMAL,0.19113408496711845,0.39606935319268055,0.7053061224489796
2022-11-24,NORMAL,0.1950967915584522,0.39613734464200634,0.7061224489795919
2022-11-25,NORMAL,0.12966010002565126,0.4028658720422444,0.7493877551020408
2022-11-28,NORMAL,0.1303381677318732,0.40313016855008094,0.7518367346938776
2022-11-29,NORMAL,0.08786156833903185,0.40675143095641864,0.7673469387755102
2022-11-30,NORMAL,0.10132094780290775,0.40514900732847214,0.76
2022-12-01,NORMAL,0.0726045820343063,0.41127197926047965,0.7853061224489796
2022-12-02,NORMAL,0.07548987592446775,0.40901957015872203,0.7771428571428571
2022-12-05,NORMAL,0.08824253478818105,0.4083745786240654,0.7746938775510204
2022-12-06,NORMAL,0.08502309442561727,0.41005629781763503,0.7828571428571428
2022-12-07,NORMAL,0.0727814639702778,0.412972610441324,0.7893877551020408
2022-12-08,NORMAL,0.08244339245919954,0.416156602465379,0.8008163265306123
2022-12-09,NORMAL,0.09630121417017785,0.4165542411918855,0.803265306122449
2022-12-12,NORMAL,0.20329068497188005,0.4251645610482107,0.8228571428571428
2022-12-13,NORMAL,0.11779096838858645,0.4197078384833965,0.8081632653061225
2022-12-14,NORMAL,0.6138573017313085,0.4351357003503156,0.8391836734693877
2022-12-15,NORMAL,0.4854131976473162,0.42090671873264535,0.8130612244897959
2022-12-16,NORMAL,0.28507107514834695,0.4076286098783528,0.7689795918367347
2022-12-19,NORMAL,0.25766259411263714,0.40926129343672446,0.7779591836734694
