Date,USDTRY,,,Retrun_5D,Retrun_20D,Volatility_5D,Volatility_20D,Volatility_6D,MA_Distance_20D,MA_Distance_50D,MA_Slope_20D,Drawdown_60D
1/30/2018,3.781,,,,,,,,,,,
1/31/2018,3.7555,,,,,,,,,,,
2/1/2018,3.7315,,,,,,,,,,,
2/2/2018,3.7734,,,,,,,,,,,
2/5/2018,3.79,,,,,,,,,,,
2/6/2018,3.7695,,,,,,,,,,,
2/7/2018,3.8047,,,,,,,,,,,
2/8/2018,3.8216,,,,,,,,,,,
2/9/2018,3.8226,,,,,,,,,,,
2/12/2018,3.7997,,,,,,,,,,,
2/13/2018,3.8106,,,,,,,,,,,
2/14/2018,3.7824,,,,,,,,,,,
2/15/2018,3.7644,,,,,,,,,,,
2/16/2018,3.7474,,,,,,,,,,,
2/19/2018,3.7573,,,,,,,,,,,
2/20/2018,3.7984,,,,,,,,,,,
2/21/2018,3.7891,,,,,,,,,,,
2/22/2018,3.7843,,,,,,,,,,,
2/23/2018,3.7905,,,,,,,,,,,
2/26/2018,3.7864,,,,,,,,,,,
2/27/2018,3.8155,,,,,,,,,,,
2/28/2018,3.7988,,,,,,,,,,,
3/1/2018,3.8056,,,,,,,,,,,
3/2/2018,3.8071,,,,,,,,,,,
3/5/2018,3.8084,,,,,,,,,,,
3/6/2018,3.7942,,,,,,,,,,,
3/7/2018,3.8027,,,,,,,,,,,
3/8/2018,3.8236,,,,,,,,,,,
3/9/2018,3.8111,,,,,,,,,,,
3/12/2018,3.8438,,,,,,,,,,,
3/13/2018,3.8733,,,,,,,,,,,
3/14/2018,3.8796,,,,,,,,,,,
3/15/2018,3.8956,,,,,,,,,,,
3/16/2018,3.9196,,,,,,,,,,,
3/19/2018,3.9362,,,,,,,,,,,
3/20/2018,3.9339,,,,,,,,,,,
3/21/2018,3.9085,,,,,,,,,,,
3/22/2018,3.9343,,,,,,,,,,,
3/23/2018,3.9824,,,,,,,,,,,
3/26/2018,3.9657,,,,,,,,,,,
3/27/2018,3.9819,,,,,,,,,,,
3/28/2018,4.0103,,,,,,,,,,,
3/29/2018,3.9422,,,,,,,,,,,
3/30/2018,3.9552,,,,,,,,,,,
4/2/2018,3.9735,,,,,,,,,,,
4/3/2018,3.9887,,,,,,,,,,,
4/4/2018,3.9991,,,,,,,,,,,
4/5/2018,4.0515,,,,,,,,,,,
4/6/2018,4.0449,,,,,,,,,,,
4/9/2018,4.0737,,,,,,,,,,,
4/10/2018,4.1121,,,,,,,,,,,
4/11/2018,4.136,,,,,,,,,,,
4/12/2018,4.1102,,,,,,,,,,,
4/13/2018,4.0969,,,,,,,,,,,
4/16/2018,4.0963,,,,,,,,,,,
4/17/2018,4.0976,,,,,,,,,,,
4/18/2018,4.0086,,,,,,,,,,,
4/19/2018,4.0403,,,,,,,,,,,
4/20/2018,4.0766,,,,,,,,,,,
4/23/2018,4.1079,,,,,,,,,,,
4/24/2018,4.086,,,,,,,,,,,
4/25/2018,4.0809,,,,,,,,,,,
4/26/2018,4.0664,,,,,,,,,,,
4/27/2018,4.0422,,,,,,,,,,,
4/30/2018,4.0617,,,,,,,,,,,
5/1/2018,4.103,,,,,,,,,,,
5/2/2018,4.1771,,,,,,,,,,,
5/3/2018,4.2131,,,,,,,,,,,
5/4/2018,4.226,,,,,,,,,,,
5/7/2018,4.2669,,,,,,,,,,,
5/8/2018,4.3327,,,,,,,,,,,
5/9/2018,4.2876,,,,,,,,,,,
5/10/2018,4.2352,,,,,,,,,,,
5/11/2018,4.3136,,,,,,,,,,,
5/14/2018,4.3674,,,,,,,,,,,
5/15/2018,4.445,,,,,,,,,,,
5/16/2018,4.4139,,,,,,,,,,,
5/17/2018,4.4606,,,,,,,,,,,
5/18/2018,4.4917,,,,,,,,,,,
5/21/2018,4.5749,,,,,,,,,,,
5/22/2018,4.6691,,,,,,,,,,,
5/23/2018,4.5762,,,,,,,,,,,
5/24/2018,4.7073,,,,,,,,,,,
5/25/2018,4.7081,,,,,,,,,,,
5/28/2018,4.5822,,,,,,,,,,,
5/29/2018,4.5488,,,,,,,,,,,
5/30/2018,4.465,,,,,,,,,,,
5/31/2018,4.5245,,,,,,,,,,,
6/1/2018,4.6508,,,,,,,,,,,
6/4/2018,4.5921,,,,,,,,,,,
6/5/2018,4.5985,,,,,,,,,,,
6/6/2018,4.5554,,,,,,,,,,,
6/7/2018,4.4844,,,,,,,,,,,
6/8/2018,4.474,,,,,,,,,,,
6/11/2018,4.524,,,,,,,,,,,
6/12/2018,4.5976,,,,,,,,,,,
6/13/2018,4.6452,,,,,,,,,,,
6/14/2018,4.7259,,,,,,,,,,,
6/15/2018,4.7301,,,,,,,,,,,
6/18/2018,4.7042,,,,,,,,,,,
6/19/2018,4.7402,,,,,,,,,,,
6/20/2018,4.7327,,,,,,,,,,,
6/21/2018,4.7225,,,,,,,,,,,
6/22/2018,4.6773,,,,,,,,,,,
6/25/2018,4.681,,,,,,,,,,,
6/26/2018,4.6155,,,,,,,,,,,
6/27/2018,4.6225,,,,,,,,,,,
6/28/2018,4.5853,,,,,,,,,,,
6/29/2018,4.5872,,,,,,,,,,,
7/2/2018,4.6161,,,,,,,,,,,
7/3/2018,4.6705,,,,,,,,,,,
7/4/2018,4.6667,,,,,,,,,,,
7/5/2018,4.5925,,,,,,,,,,,
7/6/2018,4.5704,,,,,,,,,,,
7/9/2018,4.7338,,,,,,,,,,,
7/10/2018,4.7077,,,,,,,,,,,
